idJugador,idPartido,puntos,asistencias,tapones,rebotes,robos,porcentajeTirosLibres,porcentajeTirosCampo,porcentajeTriples
1628389,42100302,6,2,0,9,0,0.0,0.5,0.0
1629622,42100302,6,2,1,5,1,0.0,0.286,0.286
1629216,42100302,14,3,0,3,0,0.0,0.5,0.5
203473,42100302,2,1,0,2,0,0.0,1.0,0.0
1629639,42100302,11,3,1,1,0,1.0,0.455,0.0
203506,42100302,14,1,0,1,1,0.9,0.25,0.2
1628997,42100302,7,0,0,2,0,0.0,0.375,0.5
1629130,42100302,6,3,1,5,1,0.0,0.429,0.0
1630209,42100302,2,2,0,3,0,0.0,0.333,0.0
1629312,42100302,0,0,0,1,0,0.0,0.0,0.0
2617,42100302,0,0,0,0,0,0.0,0.0,0.0
202693,42100302,0,0,0,0,0,0.0,0.0,0.0
203493,42100311,12,2,0,3,1,1.0,0.333,0.3
1627827,42100311,5,0,0,7,0,0.0,0.333,0.333
203939,42100311,3,0,0,3,1,0.5,0.5,0.0
1628973,42100311,14,4,0,4,1,0.5,0.375,0.0
1629029,42100311,20,4,0,7,1,0.625,0.333,0.3
1628467,42100311,3,0,0,3,0,0.0,0.25,0.25
203915,42100311,17,2,0,1,0,0.8,0.455,0.429
202722,42100311,0,0,0,1,2,0.0,0.0,0.0
1628373,42100311,0,0,0,1,0,0.0,0.0,0.0
1630182,42100311,2,0,0,1,0,0.0,0.333,0.0
203504,42100311,7,2,0,0,0,1.0,0.75,0.0
1627737,42100311,0,0,0,1,0,0.0,0.0,0.0
1628425,42100311,4,0,1,3,1,0.0,0.5,0.0
1626246,42100311,0,0,0,0,0,0.0,0.0,0.0
